Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
    PowerToys.Awake.exe		11,952 K	6,000 K	10804	PowerToys.Awake	Microsoft Corporation
    PowerToys.FancyZones.exe	< 0.01	69,388 K	4,104 K	32064	PowerToys.FancyZones	Microsoft Corporation
    PowerToys.KeyboardManagerEngine.exe		14,832 K	388 K	26520	PowerToys.KeyboardManagerEngine	Microsoft Corporation
    PowerToys.Peek.UI.exe	< 0.01	85,392 K	9,868 K	32700	PowerToys.Peek.UI	Microsoft Corporation
     msedgewebview2.exe		29,676 K	16,424 K	8248	Microsoft Edge WebView2	Microsoft Corporation
      msedgewebview2.exe		2,140 K	992 K	21548	Microsoft Edge WebView2	Microsoft Corporation
      msedgewebview2.exe		1,38,156 K	12,252 K	28396	Microsoft Edge WebView2	Microsoft Corporation
      msedgewebview2.exe		8,572 K	2,680 K	20744	Microsoft Edge WebView2	Microsoft Corporation
      msedgewebview2.exe		6,504 K	2,452 K	17764	Microsoft Edge WebView2	Microsoft Corporation
      msedgewebview2.exe		16,332 K	3,152 K	1776	Microsoft Edge WebView2	Microsoft Corporation
    PowerToys.PowerLauncher.exe	< 0.01	1,58,664 K	24,192 K	31124	PowerToys.Run	Microsoft Corporation
    PowerToys.PowerOCR.exe		12,388 K	2,960 K	33308	PowerToys.PowerOCR	Microsoft Corporation
   taskhostw.exe		4,504 K	5,960 K	10324		
   SmartByteTelemetry.exe	0.32	49,596 K	21,588 K	30736	SmartByteTelemetry	DELL
  svchost.exe	0.32	10,656 K	14,404 K	2060	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,448 K	4,980 K	2136	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,216 K	4,940 K	2144	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,136 K	5,852 K	2152	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	3,164 K	4,148 K	2276	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,124 K	9,100 K	2312	Host Process for Windows Services	Microsoft Corporation
   sihost.exe		6,628 K	20,920 K	20252	Shell Infrastructure Host	Microsoft Corporation
    DellMobileConnectClient.exe		1,09,472 K	19,872 K	17100	DellMobileConnectClient	Screenovate Technologies Ltd.
  svchost.exe		1,480 K	2,900 K	2332	Host Process for Windows Services	Microsoft Corporation
  IntelCpHDCPSvc.exe		1,340 K	1,444 K	2400	Intel HD Graphics Drivers for Windows(R)	Intel Corporation
  svchost.exe		3,076 K	4,444 K	2492	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,096 K	4,760 K	2580	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,644 K	1,900 K	2616	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	4,072 K	5,400 K	2660	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,956 K	3,704 K	2672	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,088 K	4,688 K	2856	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,800 K	10,104 K	2884	Host Process for Windows Services	Microsoft Corporation
  igfxCUIServiceN.exe		2,748 K	6,016 K	3008	igfxCUIService Module	Intel Corporation
   igfxEMN.exe		3,616 K	13,464 K	22284	igfxEM Module	Intel Corporation
  NVDisplay.Container.exe		9,008 K	10,820 K	3176	NVIDIA Container	NVIDIA Corporation
   NVDisplay.Container.exe	0.16	49,156 K	24,404 K	3204		
  svchost.exe		21,216 K	13,824 K	3240	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,528 K	5,988 K	3284	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,272 K	2,080 K	3292	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,512 K	5,696 K	3348	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,892 K	2,556 K	3360	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		13,460 K	9,540 K	3528	Host Process for Windows Services	Microsoft Corporation
